V,E,A,FB,NER,MB,RHO,SVD,MSE
6,6,-0.8763434717992419,1.4910723219733637,0.5217391304347826,3,0.7569349859649517,0.7569349859649623,0.0
6,6,-0.33302257083126324,1.2328753476598708,0.6086956521739131,3,0.2584358262350328,0.25843582623506123,0.0
6,6,0.011955444287745297,1.3180158293764137,0.4090909090909091,3,0.0,0.0,0.0
6,6,0.41115866118218386,1.543610141558668,0.2,4,0.28355658481519086,0.28355658481518553,0.0
6,6,0.18463243005735822,1.2998472237233145,0.4583333333333333,3,0.09048687378099629,0.09048687378100517,0.0
6,6,0.3316702260785263,1.026353100883921,0.4,3,0.26458049788678295,0.26458049788679183,0.0
6,6,-0.3322012747639259,1.7567842661236452,0.28,3,0.5011787904375904,0.5011787904375744,0.0
6,6,0.034005899453181006,1.4245177348780274,0.043478260869565216,1,0.0,0.0,0.0
6,6,0.2793404738427729,1.1672023618166727,0.23809523809523808,3,1.8546400302176203,1.8546400302176176,0.0392156862745098
6,6,-3.7664481406779426e-16,1.5394951299812383,0.08333333333333333,2,0.0,0.0,0.0
6,6,0.08219578678453085,1.4141174442316162,1.0,0,0.0,0.0,0.0
6,6,1.960089270713856e-16,1.0140648474574614,1.0,0,0.0,0.0,0.0
9,5,-6.176402846113153e-16,2.5351949121711472,0.0,0,0.0,0.0,0.0
9,5,-1.1271531184107628e-15,2.8067251375271365,0.9743589743589743,1,0.0,0.0,0.0
9,5,-5.225669716146869e-16,2.781418870772347,0.8947368421052632,3,0.0,0.0,0.0
9,5,-1.1380377296221535,2.5271660910047418,0.7777777777777778,3,0.26013017649064807,0.260130176490609,0.012987012987012988
9,5,-0.5116159760338935,2.7226490542792003,0.7894736842105263,4,0.6234786136930133,0.6234786136930097,0.0136986301369863
9,5,-0.5428949304979315,1.5328880796874333,0.71875,3,0.7741722886161568,0.7741722886161675,0.014925373134328358
9,5,-0.07847672667187779,2.7537861332561575,0.5405405405405406,3,0.6519310420294353,0.6519310420294211,0.0
9,5,-0.451575024670311,2.781418870772347,0.7368421052631579,4,2.5482752087479277,2.5482752087479135,0.014492753623188406
9,5,-0.5894561493864595,1.8895551510106852,0.6578947368421053,4,0.650001356605113,0.6500013566051379,0.013157894736842105
9,5,-0.010704320630461303,2.7730961280024937,0.5641025641025641,4,2.605715580489923,2.6057155804899423,0.02877697841726619
9,5,-0.8461828998491348,2.713000749004014,0.5405405405405406,3,1.908414531184091,1.9084145311840874,0.027972027972027972
9,5,-0.9651436662771795,2.3673393634298847,0.4411764705882353,3,0.8868637722795398,0.8868637722795505,0.0136986301369863
9,5,-0.9425658446095475,1.8146546058050366,0.5882352941176471,3,0.6402663202257202,0.640266320225706,0.021739130434782608
9,5,-1.1451788874018491,1.544498818766825,0.35294117647058826,3,0.3386437883813116,0.3386437883813187,0.0
9,5,-1.085941402138206,1.7419401979698628,0.36363636363636365,4,1.0195891294924433,1.019589129492429,0.016
9,5,-1.0723764704771113,3.196521952725774,0.2631578947368421,3,1.225984941393758,1.225984941393726,0.0
9,5,-0.45819649628444414,1.7475933415621527,0.15151515151515152,3,1.085481180550346,1.0854811805503353,0.0425531914893617
9,5,-0.9544392529192841,2.5322880320577696,0.16216216216216217,2,0.7103457564293905,0.7103457564294118,0.011299435028248588
9,5,-0.770956699547709,2.7687351141495653,0.10256410256410256,3,0.11840659655183927,0.1184065965518144,0.0
9,5,-6.441832847124515e-16,2.438447187191167,0.029411764705882353,1,0.0,0.0,0.0
9,5,-1.6510404219500516e-15,1.7853873215528862,1.0,0,0.0,0.0,0.0
11,8,-1.049681677672575e-15,1.5633786352039833,0.0,0,0.0,0.0,0.0
11,8,-1.1189785285005008e-15,1.2722817653157235,0.9318181818181818,3,0.0,0.0,0.0
